s,a,s',reward,case,amount
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173688,20000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173688,20000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173688,20000
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-5.07,173688,20000
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,173688,20000
"A_ACCEPTED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,173688,20000
"O_SELECTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,173688,20000
"A_FINALIZED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,173688,20000
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,173688,20000
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-4.34,173688,20000
"W_Call_after_offer,1,0,1,0,0",O_SENT_BACK,"O_SENT_BACK,1,0,1,1,0",0.0,173688,20000
"O_SENT_BACK,1,0,1,1,0",W_Assess_application,"W_Assess_application,1,0,1,1,0",-19.3,173688,20000
"W_Assess_application,1,0,1,1,0",O_ACCEPTED,"O_ACCEPTED,1,0,1,1,0",3000.0,173688,20000
"O_ACCEPTED,1,0,1,1,0",A_APPROVED,"A_APPROVED,1,0,1,1,0",0.0,173688,20000
"A_APPROVED,1,0,1,1,0",A_REGISTERED,"A_REGISTERED,1,0,1,1,0",0.0,173688,20000
"A_REGISTERED,1,0,1,1,0",A_ACTIVATED,"A_ACTIVATED,1,0,1,1,0",0.0,173688,20000
"A_ACTIVATED,1,0,1,1,0",END,END,0.0,173688,20000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173691,5000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173691,5000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173691,5000
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-8.12,173691,5000
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,173691,5000
"A_ACCEPTED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,173691,5000
"O_SELECTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,173691,5000
"A_FINALIZED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,173691,5000
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,173691,5000
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-1.1,173691,5000
"W_Call_after_offer,1,0,1,0,0",O_CANCELLED,"O_CANCELLED,1,0,1,0,0",0.0,173691,5000
"O_CANCELLED,1,0,1,0,0",O_SELECTED,"O_SELECTED,1,0,1,0,0",0.0,173691,5000
"O_SELECTED,1,0,1,0,0",O_CREATED,"O_CREATED,1,0,1,0,0",0.0,173691,5000
"O_CREATED,1,0,1,0,0",O_SENT,"O_SENT,1,0,2,0,0",0.0,173691,5000
"O_SENT,1,0,2,0,0",W_Call_after_offer,"W_Call_after_offer,2,0,2,0,0",-1.02,173691,5000
"W_Call_after_offer,2,0,2,0,0",O_SENT_BACK,"O_SENT_BACK,2,0,2,1,0",0.0,173691,5000
"O_SENT_BACK,2,0,2,1,0",W_Assess_application,"W_Assess_application,2,0,2,1,0",-14.11,173691,5000
"W_Assess_application,2,0,2,1,0",O_ACCEPTED,"O_ACCEPTED,2,0,2,1,0",750.0,173691,5000
"O_ACCEPTED,2,0,2,1,0",A_APPROVED,"A_APPROVED,2,0,2,1,0",0.0,173691,5000
"A_APPROVED,2,0,2,1,0",A_REGISTERED,"A_REGISTERED,2,0,2,1,0",0.0,173691,5000
"A_REGISTERED,2,0,2,1,0",A_ACTIVATED,"A_ACTIVATED,2,0,2,1,0",0.0,173691,5000
"A_ACTIVATED,2,0,2,1,0",END,END,0.0,173691,5000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173694,7000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173694,7000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173694,7000
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-19.75,173694,7000
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,173694,7000
"A_ACCEPTED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,173694,7000
"O_SELECTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,173694,7000
"A_FINALIZED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,173694,7000
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,173694,7000
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-2.19,173694,7000
"W_Call_after_offer,1,0,1,0,0",O_CANCELLED,"O_CANCELLED,1,0,1,0,0",0.0,173694,7000
"O_CANCELLED,1,0,1,0,0",O_SELECTED,"O_SELECTED,1,0,1,0,0",0.0,173694,7000
"O_SELECTED,1,0,1,0,0",O_CREATED,"O_CREATED,1,0,1,0,0",0.0,173694,7000
"O_CREATED,1,0,1,0,0",O_SENT,"O_SENT,1,0,2,0,0",0.0,173694,7000
"O_SENT,1,0,2,0,0",W_Call_after_offer,"W_Call_after_offer,2,0,2,0,0",-5.08,173694,7000
"W_Call_after_offer,2,0,2,0,0",O_CANCELLED,"O_CANCELLED,2,0,2,0,0",0.0,173694,7000
"O_CANCELLED,2,0,2,0,0",O_SELECTED,"O_SELECTED,2,0,2,0,0",0.0,173694,7000
"O_SELECTED,2,0,2,0,0",O_CREATED,"O_CREATED,2,0,2,0,0",0.0,173694,7000
"O_CREATED,2,0,2,0,0",O_SENT,"O_SENT,2,0,3,0,0",0.0,173694,7000
"O_SENT,2,0,3,0,0",W_Call_after_offer,"W_Call_after_offer,3,0,3,0,0",-10.47,173694,7000
"W_Call_after_offer,3,0,3,0,0",O_SENT_BACK,"O_SENT_BACK,3,0,3,1,0",0.0,173694,7000
"O_SENT_BACK,3,0,3,1,0",W_Assess_application,"W_Assess_application,3,0,3,1,0",-24.4,173694,7000
"W_Assess_application,3,0,3,1,0",O_ACCEPTED,"O_ACCEPTED,3,0,3,1,0",1050.0,173694,7000
"O_ACCEPTED,3,0,3,1,0",A_APPROVED,"A_APPROVED,3,0,3,1,0",0.0,173694,7000
"A_APPROVED,3,0,3,1,0",A_REGISTERED,"A_REGISTERED,3,0,3,1,0",0.0,173694,7000
"A_REGISTERED,3,0,3,1,0",A_ACTIVATED,"A_ACTIVATED,3,0,3,1,0",0.0,173694,7000
"A_ACTIVATED,3,0,3,1,0",END,END,0.0,173694,7000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173697,15000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173697,15000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,173697,15000
"A_DECLINED,0,0,0,0,0",END,END,0.0,173697,15000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173700,5000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173700,5000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,173700,5000
"A_DECLINED,0,0,0,0,0",END,END,0.0,173700,5000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173703,13500
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173703,13500
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173703,13500
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-14.63,173703,13500
"W_Complete_preaccepted_appl,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,173703,13500
"A_CANCELLED,0,0,0,0,0",END,END,0.0,173703,13500
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173706,18000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173706,18000
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-0.66,173706,18000
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,173706,18000
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-8.37,173706,18000
"W_Complete_preaccepted_appl,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,173706,18000
"A_DECLINED,0,0,0,0,1",END,END,0.0,173706,18000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173709,11000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173709,11000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173709,11000
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",0.0,173709,11000
"W_Complete_preaccepted_appl,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,173709,11000
"A_CANCELLED,0,0,0,0,0",END,END,0.0,173709,11000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173712,30000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173712,30000
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-1.09,173712,30000
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,173712,30000
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-5.46,173712,30000
"W_Complete_preaccepted_appl,0,0,0,0,1",A_CANCELLED,"A_CANCELLED,0,0,0,0,1",0.0,173712,30000
"A_CANCELLED,0,0,0,0,1",END,END,0.0,173712,30000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173715,45000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173715,45000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173715,45000
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-8.19,173715,45000
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,173715,45000
"A_ACCEPTED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,173715,45000
"O_SELECTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,173715,45000
"A_FINALIZED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,173715,45000
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,173715,45000
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-1.89,173715,45000
"W_Call_after_offer,1,0,1,0,0",O_SENT_BACK,"O_SENT_BACK,1,0,1,1,0",0.0,173715,45000
"O_SENT_BACK,1,0,1,1,0",W_Assess_application,"W_Assess_application,1,0,1,1,0",-2.79,173715,45000
"W_Assess_application,1,0,1,1,0",A_DECLINED,"A_DECLINED,1,0,1,1,0",0.0,173715,45000
"A_DECLINED,1,0,1,1,0",O_DECLINED,"O_DECLINED,1,0,1,1,0",0.0,173715,45000
"O_DECLINED,1,0,1,1,0",END,END,0.0,173715,45000
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,173718,15000
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,173718,15000
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,173718,15000
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-3.56,173718,15000
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,173718,15000
"A_ACCEPTED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,173718,15000
"O_SELECTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,173718,15000
"A_FINALIZED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,173718,15000
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,173718,15000
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-0.94,173718,15000
"W_Call_after_offer,1,0,1,0,0",O_CANCELLED,"O_CANCELLED,1,0,1,0,0",0.0,173718,15000
"O_CANCELLED,1,0,1,0,0",O_SELECTED,"O_SELECTED,1,0,1,0,0",0.0,173718,15000
