s,a,s',reward,case,amount
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,0,20000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,0,20000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,0,20000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-5.26,0,20000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",O_DECLINED,"O_DECLINED,0,0,0,0,0",0.0,0,20000.0
"O_DECLINED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,0,20000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,0,20000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1,4000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1,4000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,1,4000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-2.03,1,4000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,1,4000.0
"A_ACCEPTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,1,4000.0
"A_FINALIZED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,1,4000.0
"O_SELECTED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,1,4000.0
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,1,4000.0
"O_SENT,0,0,1,0,0",O_SENT_BACK,"O_SENT_BACK,0,0,1,1,0",0.0,1,4000.0
"O_SENT_BACK,0,0,1,1,0",W_Assess_application,"W_Assess_application,0,0,1,1,0",-10.95,1,4000.0
"W_Assess_application,0,0,1,1,0",W_Call_missing_information,"W_Call_missing_information,0,1,1,1,0",-5.47,1,4000.0
"W_Call_missing_information,0,1,1,1,0",O_SELECTED,"O_SELECTED,0,1,1,1,0",0.0,1,4000.0
"O_SELECTED,0,1,1,1,0",O_CREATED,"O_CREATED,0,1,1,1,0",0.0,1,4000.0
"O_CREATED,0,1,1,1,0",O_SENT,"O_SENT,0,1,2,1,0",0.0,1,4000.0
"O_SENT,0,1,2,1,0",W_Call_after_offer,"W_Call_after_offer,1,1,2,1,0",-6.81,1,4000.0
"W_Call_after_offer,1,1,2,1,0",O_SENT_BACK,"O_SENT_BACK,1,1,2,2,0",0.0,1,4000.0
"O_SENT_BACK,1,1,2,2,0",W_Assess_application,"W_Assess_application,1,1,2,2,0",-37.08,1,4000.0
"W_Assess_application,1,1,2,2,0",W_Call_missing_information,"W_Call_missing_information,1,2,2,2,0",-16.41,1,4000.0
"W_Call_missing_information,1,2,2,2,0",O_SELECTED,"O_SELECTED,1,2,2,2,0",0.0,1,4000.0
"O_SELECTED,1,2,2,2,0",O_CREATED,"O_CREATED,1,2,2,2,0",0.0,1,4000.0
"O_CREATED,1,2,2,2,0",O_SENT,"O_SENT,1,2,3,2,0",0.0,1,4000.0
"O_SENT,1,2,3,2,0",W_Call_after_offer,"W_Call_after_offer,2,2,3,2,0",-1.09,1,4000.0
"W_Call_after_offer,2,2,3,2,0",O_ACCEPTED,"O_ACCEPTED,2,2,3,2,0",0.0,1,4000.0
"O_ACCEPTED,2,2,3,2,0",A_APPROVED,"A_APPROVED,2,2,3,2,0",0.0,1,4000.0
"A_APPROVED,2,2,3,2,0",A_REGISTERED,"A_REGISTERED,2,2,3,2,0",0.0,1,4000.0
"A_REGISTERED,2,2,3,2,0",A_ACTIVATED,"A_ACTIVATED,2,2,3,2,0",0.0,1,4000.0
"A_ACTIVATED,2,2,3,2,0",END,END,600.0,1,4000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,10,26000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,10,26000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,10,26000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-1.54,10,26000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",O_DECLINED,"O_DECLINED,0,0,0,0,0",0.0,10,26000.0
"O_DECLINED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,10,26000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,10,26000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,100,19000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,100,19000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-4.94,100,19000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,100,19000.0
"A_DECLINED,0,0,0,0,1",END,END,0.0,100,19000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1000,14000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1000,14000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,1000,14000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,1000,14000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1001,17000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1001,17000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,1001,17000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,1001,17000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1002,20000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1002,20000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-20.0,1002,20000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_CANCELLED,"A_CANCELLED,0,0,0,0,1",0.0,1002,20000.0
"A_CANCELLED,0,0,0,0,1",END,END,0.0,1002,20000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1003,23000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1003,23000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-3.38,1003,23000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,1003,23000.0
"A_DECLINED,0,0,0,0,1",END,END,0.0,1003,23000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1004,33000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1004,33000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,1004,33000.0
